module,tier,status,primary_outputs,finding,limitation
Run metadata / media identity / hash verification,QC / validity,COMPLETE,run_config_media_selection; stream_inventory_corrected; phase_coverage,PRAYCG2.0 run; Target/Override hash matched; channel map locked; 66 cue schedule loaded.,
ALS/PT19 start-pulse timing QC,QC / validity,PARTIAL / CAUTION,als_start_pulse_qc.csv,"1/3 branch pulses passed simple threshold; Target detected, Control/Override weak/failed.",Prevents strict timing-grade confirmation; sample-index timing reconstruction used.
StimulusFingerprint v1.8 / CET regressors,QC / validity,COMPLETE,stimulus_exogenous_regressor_frame_all_conditions; field_cet_residualization_model_summary,Control/Target/Override regressors available; exogenous models did not explain NIP robustly in blocked CV.,Anchor-specific stimulus vectors absent because anchor_count=0 in QC manifest.
Feature extraction / bandpower / artifact sentinels,Core preprocessing,COMPLETE,field_time_resolved_feature_frame.csv; field_phase_feature_summary.csv,Generated 1-second stepped 2-second feature frame and phase summaries.,Single-participant and scalp EEG artifact-sensitive.
GammaScalpel microband scan,Core feature diagnostic,COMPLETE,field_gammascalpel_microband_phase_summary.csv,Lower-gamma microbands summarized by branch/ROI; see table for Target/Override deltas.,Gamma remains artifact-sensitive and secondary to A-MRED.
Topo-OSM network-state vectors,Secondary / interpretation,COMPLETE,field_topo_osm_phase_state_vectors.csv,Phase-level network-state proxy vectors generated for all phases.,"Human-scale topology proxy only, not cellular OSM."
NAST narrative-absorption transition,Secondary / interpretation,COMPLETE,field_nast_phase_transition_table.csv,Baseline/Washout-to-branch transitions summarized; Target transition positive but not dramatic.,DMN-proxy only; not direct DMN detection.
CandidateLocal KHT-topo / MRED,Primary-adjacent / exploratory,COMPLETE,field_candidate_local_kht_topo_mred_event_table.csv,Anchor-local event table generated from A-MRED inputs; one anchor (A6) candidate passed A-MRED at runner time.,No independent group replication; timing sensitivity present.
A-MRED anchor-locked endpoint,PRIMARY RECOMMENDED,COMPLETE / PILOT POSITIVE,field_amred_anchor_endpoint_table.csv; field_amred_primary_endpoint_summary.csv,1/7 runner-time anchors passed; sensitivity with content offset dropped to 0/7.,"Runner-loaded blind estimated anchors, not frame-verified locked anchors; ALS weak."
MRED event table,Primary-derived,COMPLETE,field_mred_event_table.csv,MR/ENC quadrants assigned for all anchor x condition rows.,Anchors estimated; not frame-verified.
NIP/BIT/CII/IAQ,Secondary summary,COMPLETE,field_nip_component_timeseries.csv; field_bit_event_table.csv; field_cii_anchor_integrals.csv; field_iaq_table.csv,Target CII > Control/Override on later anchors; overall NIP weaker than Contact but Target-dominant.,"Secondary summary, not endpoint proof."
TTI reception-extraction tradeoff,Secondary summary,COMPLETE,field_tti_global_summary.csv; field_tti_anchor_deltas.csv,"Global TTI positive (+0.568), consistent with Target reception vs Override extraction.",Not moral/clinical score.
OCM025 / RSM / CVB / SquintProxy,Override diagnostic,COMPLETE,field_ocm025_rsm_cvb_squint_cue_table.csv; field_rsm_correlation_summary.csv,Override task engaged by report; RSM found modest hard-number/carry/guess-risk structure.,Private strategy not provable from physiology alone.
CET-R residualization,QC / guardrail,COMPLETE,field_cet_residualization_model_summary.csv; field_cet_residualized_cii_anchor_integrals.csv,Stimulus-side regressors did not generalize well enough to explain NIP pattern.,CET-R supports but does not confirm endpoint.
EET endogenous echo tracking,Exploratory convergence,COMPLETE,field_eet_endogenous_echo_tracking.csv,Baseline 2 / washout state-vector resemblance estimated.,State-vector similarity only; not proof of replay or memory.
MRED-ITP / ACG / OCU,Exploratory convergence,COMPLETE,field_lz_complexity_timeseries.csv; field_mred_itp_anchor_summary.csv; field_acg_event_table.csv; field_ocu_event_table.csv,ACG/OCU convergence generated; no strict proof layer; blink release weak without EOG.,"LZC is complexity proxy, not thermodynamic entropy; Fp1 blink proxy not EOG."
SelfReport20 parser,Phenomenology / covariate,COMPLETE,field_self_report_summary.csv,PRAYCG2.0 consolidated self-report parsed; Target strongest by final report.,Self-report contextualizes physiology; not proof of internal state.
LSO/SPM subtitle override,Not applicable,N/A,none,No subtitle condition in this run.,Not applicable.
Dyadic / group hyperscanning,Not applicable,N/A,none,Single-participant run only.,No intersubject synchrony endpoint.
